id,county,3/20/2020,3/21/2020
36001,Albany,1.785329842,1.944482677
36003,Allegany,0.301030213,0.301030213
36005,Bronx,-6,-6
36007,Broome,0.301030213,0.301030213
36009,Cattaraugus,-6,-6
36011,Cayuga,-6,-6
36013,Chautauqua,-6,-6
36015,Chemung,-6,-6
36017,Chenango,0.301030213,0.301030213
36019,Clinton,0.301030213,0.6020601
36021,Columbia,4.34294E-07,0.301030213
36023,Cortland,-6,-6
36025,Delaware,4.34294E-07,4.34294E-07
36027,Dutchess,1.556302513,1.690196089
36029,Erie,1.491361708,1.579783608
36031,Essex,4.34294E-07,0.301030213
36033,Franklin,-6,-6
36035,Fulton,4.34294E-07,4.34294E-07
36037,Genesee,4.34294E-07,4.34294E-07
36039,Greene,0.301030213,0.301030213
36041,Hamilton,0.301030213,0.301030213
36043,Herkimer,0.301030213,0.477121399
36045,Jefferson,4.34294E-07,4.34294E-07
36047,Kings,-6,-6
36049,Lewis,-6,-6
36051,Livingston,4.34294E-07,0.301030213
36053,Madison,-6,-6
36055,Monroe,1.505149992,1.623249301
36057,Montgomery,0.301030213,0.477121399
36059,Nassau,2.877371346,3.09131516
36061,New York,3.644241586,3.793161529
36063,Niagara,0.477121399,0.6020601
36065,Oneida,0.301030213,0.6020601
36067,Onondaga,0.903090041,1.230448947
36069,Ontario,0.477121399,0.6020601
36071,Orange,1.924279291,2.212187607
36073,Orleans,-6,-6
36075,Oswego,-6,-6
36077,Otsego,-6,-6
36079,Putnam,0.845098102,1.342422701
36081,Queens,-6,-6
36083,Rensselaer,0.903090041,1.301030017
36085,Richmond,-6,-6
36087,Rockland,2.004321378,2.418301293
36089,St. Lawrence,-6,-6
36091,Saratoga,1.38021126,1.544068057
36093,Schenectady,1.322219315,1.505149992
36095,Schoharie,4.34294E-07,4.34294E-07
36097,Schuyler,-6,-6
36099,Seneca,-6,-6
36101,Steuben,-6,0.301030213
36103,Suffolk,2.569373911,2.82085799
36105,Sullivan,0.903090041,1.079181282
36107,Tioga,4.34294E-07,4.34294E-07
36109,Tompkins,0.845098102,1.041392725
36111,Ulster,1.079181282,1.255272529
36113,Warren,4.34294E-07,4.34294E-07
36115,Washington,4.34294E-07,4.34294E-07
36117,Wayne,4.34294E-07,0.477121399
36119,Westchester,3.037824751,3.142076461
36121,Wyoming,0.301030213,0.301030213
36123,Yates,-6,-6
